Fusion Name	Gene 1 Symbol	Gene 2 Symbol
ENSG00000225393:TMLHE-AS1	ENSG00000225393	TMLHE-AS1
AMELY:TBL1Y	AMELY	TBL1Y
GPM6A:RPS24	GPM6A	RPS24
ATP1B1:CADM3	ATP1B1	CADM3
MED31:KHDRBS3	MED31	KHDRBS3
ZMAT2:ZIC1	ZMAT2	ZIC1
PTMS:BHLHE22	PTMS	BHLHE22
GPM6A:SRSF7	GPM6A	SRSF7
GOLM1:NAA35	GOLM1	NAA35
GTF2E2:ATP6V1H	GTF2E2	ATP6V1H
TRAPPC3:CCND2	TRAPPC3	CCND2
RASA1:USP28	RASA1	USP28
DDB2:SPATS2	DDB2	SPATS2
NCKAP1:RPL30	NCKAP1	RPL30
ATOX1:NFYC	ATOX1	NFYC
NAA35:SLIRP	NAA35	SLIRP
WDR33:ZNF638	WDR33	ZNF638
MIEF2:PRKCZ	MIEF2	PRKCZ
SDF2:COX7C	SDF2	COX7C
RAB3IP:SF1	RAB3IP	SF1
SCAPER:GSTM2	SCAPER	GSTM2
RPL14:MAML3	RPL14	MAML3
ACYP2:COMMD1	ACYP2	COMMD1
NFRKB:CHD2	NFRKB	CHD2
UBE2E1:ZNF717	UBE2E1	ZNF717
UBE2E1:ZNF404	UBE2E1	ZNF404
CXXC5:BTD	CXXC5	BTD
PPA1:UGP2	PPA1	UGP2
ZNF57:ZNF721	ZNF57	ZNF721
ZNF672:TEDC1	ZNF672	TEDC1
C12orf75:RPS21	C12orf75	RPS21
ENSG00000281039:BPTF	ENSG00000281039	BPTF
COA8:PIK3CD	COA8	PIK3CD
CLSTN1:PRRC2B	CLSTN1	PRRC2B
ETFDH:TOP1	ETFDH	TOP1
GSTA4:PEG10	GSTA4	PEG10
RSL1D1:BANF1	RSL1D1	BANF1
GABRD:ZNF318	GABRD	ZNF318
KCND3:KCND2	KCND3	KCND2
RNASEH1:RPS7	RNASEH1	RPS7
HNRNPH1:ANKRD49	HNRNPH1	ANKRD49
C2orf68:NAP1L1	C2orf68	NAP1L1
MAT2A:PNMA3	MAT2A	PNMA3
TLK1:TMEM129	TLK1	TMEM129
NPIPA9:UPF3A	NPIPA9	UPF3A
SNURF:UPF3A	SNURF	UPF3A
ADSL:XPO6	ADSL	XPO6
FAM221A:CCDC126	FAM221A	CCDC126
DNAJC9:STX18	DNAJC9	STX18
ARL6IP1:SPINK6	ARL6IP1	SPINK6
SRRM2:CSTF3	SRRM2	CSTF3
ZNF597:PPIH	ZNF597	PPIH
FTH1:UCKL1	FTH1	UCKL1
SRGAP2B:SLC3A2	SRGAP2B	SLC3A2
MAP4K2:SLC29A2	MAP4K2	SLC29A2
ANKS3:AMZ2	ANKS3	AMZ2
POLR2J3:POLR2J2	POLR2J3	POLR2J2
PCMTD1:ANKRD36C	PCMTD1	ANKRD36C
MFSD4A:STAT3	MFSD4A	STAT3
LDLRAD4:ENSG00000241962	LDLRAD4	ENSG00000241962
PPIP5K1:CRYGS	PPIP5K1	CRYGS
MFN1:SRSF10	MFN1	SRSF10
SRRM2:MAT2A	SRRM2	MAT2A
TMC4:CCR10	TMC4	CCR10
ZNF146:MAN2A2	ZNF146	MAN2A2
PRRT2:MYRIP	PRRT2	MYRIP
PPM1D:TLCD3A	PPM1D	TLCD3A
C5orf22:HINT1	C5orf22	HINT1
C15orf40:SLC43A2	C15orf40	SLC43A2
ZNF83:TUFM	ZNF83	TUFM
COX8A:NDUFV1	COX8A	NDUFV1
PI4KA:HID1	PI4KA	HID1
DENND6B:ATP5PD	DENND6B	ATP5PD
TUB:DPF3	TUB	DPF3
TMEM80:CTSB	TMEM80	CTSB
TMX3:NDUFV2	TMX3	NDUFV2
RIMKLB:CDK10	RIMKLB	CDK10
ACACA:CATSPER2	ACACA	CATSPER2
TEF:TDRD6	TEF	TDRD6
ATP5MG:ATP5MGL	ATP5MG	ATP5MGL
ME2:CCDC180	ME2	CCDC180
SMARCA2:ERICH3	SMARCA2	ERICH3
CPOX:HNRNPDL	CPOX	HNRNPDL
EXD2:SERF1B	EXD2	SERF1B
SBF2:PCDHA6	SBF2	PCDHA6
ME2:C1GALT1	ME2	C1GALT1
BRI3BP:AKIP1	BRI3BP	AKIP1
PCP2:ACYP2	PCP2	ACYP2
FOXN2:KCNK12	FOXN2	KCNK12
GABBR1:RPS9	GABBR1	RPS9
NEMF:INPP5J	NEMF	INPP5J
METTL17:C6orf136	METTL17	C6orf136
NSMF:ABHD16A	NSMF	ABHD16A
CACNB2:LMBRD1	CACNB2	LMBRD1
API5:CEP57	API5	CEP57
CCT2:ASMTL	CCT2	ASMTL
SLC48A1:USP54	SLC48A1	USP54
ALDH7A1:GLMN	ALDH7A1	GLMN
ZNF528:NAIP	ZNF528	NAIP
CEP95:RPS14	CEP95	RPS14
TADA2B:CAMLG	TADA2B	CAMLG
ZNF704:LSAMP	ZNF704	LSAMP
TSEN34:SPIDR	TSEN34	SPIDR
EIF1:ORC5	EIF1	ORC5
PGBD5:TMEM65	PGBD5	TMEM65
PSMB4:KCTD4	PSMB4	KCTD4
TNPO1:PKD2	TNPO1	PKD2
ERC1:DAB2IP	ERC1	DAB2IP
COL19A1:MED10	COL19A1	MED10
C16orf95:YIF1B	C16orf95	YIF1B
PDHB:SHROOM1	PDHB	SHROOM1
NELFA:IL17RE	NELFA	IL17RE
SMIM7:RFT1	SMIM7	RFT1
DRG1:WDR82	DRG1	WDR82
HMGB2:ZNF791	HMGB2	ZNF791
ICE1:PDCD6	ICE1	PDCD6
NBPF20:NBPF19	NBPF20	NBPF19
CAPN2:MTCL1	CAPN2	MTCL1
DPY30:DNAJC19	DPY30	DNAJC19
TYW5:SMIM14	TYW5	SMIM14
ATP5PO:IWS1	ATP5PO	IWS1
PNPT1:XPO1	PNPT1	XPO1
CGGBP1:LPL	CGGBP1	LPL
FAM169A:NAXE	FAM169A	NAXE
VIRMA:TMEM183A	VIRMA	TMEM183A
CLDN12:FAM133B	CLDN12	FAM133B
GPR37L1:SAMD8	GPR37L1	SAMD8
TVP23C:AIFM1	TVP23C	AIFM1
FAM234A:NSMCE2	FAM234A	NSMCE2
RPUSD3:SPTBN2	RPUSD3	SPTBN2
STEAP2:TCF4	STEAP2	TCF4
CLDN12:NCOA6	CLDN12	NCOA6
SLX4:ST3GAL2	SLX4	ST3GAL2
ZNF138:DCAF16	ZNF138	DCAF16
LDB1:TTC34	LDB1	TTC34
TTLL3:DBF4B	TTLL3	DBF4B
LEMD2:ACSF2	LEMD2	ACSF2
SCIMP:SARNP	SCIMP	SARNP
ATR:RPL26	ATR	RPL26
RPL26:ZNF772	RPL26	ZNF772
TEDC2:P4HB	TEDC2	P4HB
BRI3BP:TBC1D24	BRI3BP	TBC1D24
SHANK1:GATD1	SHANK1	GATD1
AK4:SLX1B	AK4	SLX1B
LZIC:PLEKHM1	LZIC	PLEKHM1
CCNL1:SBK1	CCNL1	SBK1
TM2D1:AMY2B	TM2D1	AMY2B
TMEM167B:USP1	TMEM167B	USP1
PSIP1:SIK3	PSIP1	SIK3
ANKS3:CRTC2	ANKS3	CRTC2
LY6E:RACK1	LY6E	RACK1
ATF6B:PWWP3A	ATF6B	PWWP3A
PPP1R16A:TMEM120B	PPP1R16A	TMEM120B
NFASC:C6orf136	NFASC	C6orf136
C1orf174:ICA1L	C1orf174	ICA1L
SYNPR:CADPS	SYNPR	CADPS
SND1:CADPS	SND1	CADPS
SYNPR:TPM4	SYNPR	TPM4
CAMK2N1:MICOS10	CAMK2N1	MICOS10
ARHGAP35:NBPF10	ARHGAP35	NBPF10
BSDC1:FAM229A	BSDC1	FAM229A
BROX:WDR4	BROX	WDR4
U2AF1:HCN1	U2AF1	HCN1
PCNT:PCBP3	PCNT	PCBP3
SF3B3:PCNT	SF3B3	PCNT
PRMT2:NCOA6	PRMT2	NCOA6
PRMT2:AMACR	PRMT2	AMACR
ZNF714:APBB1	ZNF714	APBB1
RACGAP1:ZER1	RACGAP1	ZER1
SPTBN4:JMJD7-PLA2G4B	SPTBN4	JMJD7-PLA2G4B
UBN2:ZNF662	UBN2	ZNF662
TSR2:TRIM46	TSR2	TRIM46
PPP1R9A:NPIPA1	PPP1R9A	NPIPA1
TMED4:DDX51	TMED4	DDX51
ARL5A:EMSY	ARL5A	EMSY
GPAT4:CDC42SE1	GPAT4	CDC42SE1
NBL1:OPCML	NBL1	OPCML
NDUFS2:VSNL1	NDUFS2	VSNL1
CFAP298:LDB1	CFAP298	LDB1
IL10RB:IFNAR2	IL10RB	IFNAR2
SNF8:CWC25	SNF8	CWC25
ATP13A2:YWHAZ	ATP13A2	YWHAZ
FBXW5:CENPX	FBXW5	CENPX
CABP1:KIAA0825	CABP1	KIAA0825
CNNM4:TSR1	CNNM4	TSR1
EYA3:NPIPA5	EYA3	NPIPA5
SMC5:EYA3	SMC5	EYA3
CEP44:CUL4B	CEP44	CUL4B
TMSB15B:TMSB15C	TMSB15B	TMSB15C
CTNND2:TSEN2	CTNND2	TSEN2
TMEM63C:FLCN	TMEM63C	FLCN
FLCN:RAD23A	FLCN	RAD23A
ATP6V1C1:IGF2	ATP6V1C1	IGF2
TRIM74:TRIM73	TRIM74	TRIM73
CCDC117:FBXO27	CCDC117	FBXO27
ATP6V0C:HYCC2	ATP6V0C	HYCC2
STARD4:RMND1	STARD4	RMND1
MICU3:ZDHHC14	MICU3	ZDHHC14
KIF5A:SCNN1G	KIF5A	SCNN1G
ZNF605:MIDEAS	ZNF605	MIDEAS
DCK:GNPDA2	DCK	GNPDA2
TRNAU1AP:WHAMM	TRNAU1AP	WHAMM
NBDY:TSPAN7	NBDY	TSPAN7
SORCS3:DNM3	SORCS3	DNM3
RPL30:MTERF3	RPL30	MTERF3
PABIR2:CNPY2	PABIR2	CNPY2
FAM216A:LRRC36	FAM216A	LRRC36
NUP205:CEP57	NUP205	CEP57
LYPLAL1:CIRBP	LYPLAL1	CIRBP
SKA2:CIRBP	SKA2	CIRBP
NARS2:TECR	NARS2	TECR
TIMM13:JAG2	TIMM13	JAG2
POLR2E:ACOX1	POLR2E	ACOX1
ZNF124:SNAP29	ZNF124	SNAP29
CRKL:SMG1	CRKL	SMG1
CECR2:MLLT6	CECR2	MLLT6
DDTL:GM2A	DDTL	GM2A
PRKRIP1:CABIN1	PRKRIP1	CABIN1
SF3A1:ELAVL3	SF3A1	ELAVL3
PRPF8:SELENON	PRPF8	SELENON
SNRPD3:TDRKH	SNRPD3	TDRKH
HIF1A:KTN1	HIF1A	KTN1
SRSF5:TCAIM	SRSF5	TCAIM
UBE2J2:EIF5	UBE2J2	EIF5
MTHFD1:KPTN	MTHFD1	KPTN
ZC3H14:CMSS1	ZC3H14	CMSS1
VRK1:CDK19	VRK1	CDK19
PSMC1:RPS18	PSMC1	RPS18
CCNB1IP1:CERS5	CCNB1IP1	CERS5
ERH:FBXO38	ERH	FBXO38
PABPN1:ZBTB44	PABPN1	ZBTB44
SPECC1L:ENSG00000266086	SPECC1L	ENSG00000266086
PHACTR3:MCF2L	PHACTR3	MCF2L
QTRT1:SLC25A3	QTRT1	SLC25A3
FRYL:QDPR	FRYL	QDPR
ACTB:POTEF	ACTB	POTEF
ACTB:TCF4	ACTB	TCF4
RAB7A:LSM14A	RAB7A	LSM14A
KIFAP3:TENT4B	KIFAP3	TENT4B
SS18L1:MLH1	SS18L1	MLH1
RGS11:ARSA	RGS11	ARSA
RGS11:CD81	RGS11	CD81
PLXNA2:AOPEP	PLXNA2	AOPEP
STX1B:SPIRE2	STX1B	SPIRE2
ENSG00000100101:CLSTN3	ENSG00000100101	CLSTN3
CCDC134:ORAI2	CCDC134	ORAI2
SEPTIN3:PHB1	SEPTIN3	PHB1
TOMM22:PTK2	TOMM22	PTK2
RTCB:WDR82	RTCB	WDR82
HLA-B:TIMP3	HLA-B	TIMP3
MAPK1:NDUFB10	MAPK1	NDUFB10
ATF6:RBFOX2	ATF6	RBFOX2
PPOX:TNRC6B	PPOX	TNRC6B
ARVCF:ZYX	ARVCF	ZYX
FBXL19:POLRMT	FBXL19	POLRMT
MTSS2:STX1B	MTSS2	STX1B
HPS4:NPIPA7	HPS4	NPIPA7
NECAP1:ARMC10	NECAP1	ARMC10
YPEL3:NFYB	YPEL3	NFYB
HDAC8:MAPKAPK5	HDAC8	MAPKAPK5
METTL2A:RNF144A	METTL2A	RNF144A
KHSRP:EBP	KHSRP	EBP
SYT11:EDEM2	SYT11	EDEM2
EPB41L1:P4HTM	EPB41L1	P4HTM
EPB41L1:IPO7	EPB41L1	IPO7
TGDS:ENSG00000264324	TGDS	ENSG00000264324
LRP2BP:KIF9	LRP2BP	KIF9
PTPRR:EMC9	PTPRR	EMC9
AK1:MAVS	AK1	MAVS
XRN2:TASP1	XRN2	TASP1
ATP9B:KIZ	ATP9B	KIZ
PYGO2:MRPS33	PYGO2	MRPS33
ESF1:COX4I1	ESF1	COX4I1
GNG10:ANAPC5	GNG10	ANAPC5
SLC23A2:SERPINB6	SLC23A2	SERPINB6
TMEM230:ZNF141	TMEM230	ZNF141
EMC9:KDM2B	EMC9	KDM2B
RPLP0:NDUFA10	RPLP0	NDUFA10
RPH3A:SUSD6	RPH3A	SUSD6
FKBP1C:FKBP1A	FKBP1C	FKBP1A
PNN:TCERG1	PNN	TCERG1
SF3A3:ZMYND8	SF3A3	ZMYND8
NAE1:IFT52	NAE1	IFT52
SNCA:NDRG3	SNCA	NDRG3
GSTA4:RAE1	GSTA4	RAE1
CERK:NETO2	CERK	NETO2
SERINC3:RBX1	SERINC3	RBX1
EP300:LAMTOR5	EP300	LAMTOR5
ZC3H7B:MDGA1	ZC3H7B	MDGA1
ABLIM1:SPTAN1	ABLIM1	SPTAN1
DISP2:ZBTB25	DISP2	ZBTB25
RBM23:BOLA2-SMG1P6	RBM23	BOLA2-SMG1P6
TRIM9:UQCRH	TRIM9	UQCRH
TIMM9:NUMB	TIMM9	NUMB
SEC23A:AHSA1	SEC23A	AHSA1
AHSA1:PCP2	AHSA1	PCP2
SPTLC2:GM2A	SPTLC2	GM2A
AFF2:DHRS7	AFF2	DHRS7
ERP29:PTMS	ERP29	PTMS
NOS1:ABLIM1	NOS1	ABLIM1
FUS:TET3	FUS	TET3
BEND6:RBM41	BEND6	RBM41
MRPL21:DDX24	MRPL21	DDX24
RBM23:NT5C3A	RBM23	NT5C3A
NDUFC2:ACOX3	NDUFC2	ACOX3
SF1:HSD17B14	SF1	HSD17B14
DCPS:SRRT	DCPS	SRRT
BAX:HNRNPK	BAX	HNRNPK
HMGCLL1:UIMC1	HMGCLL1	UIMC1
DNAJB2:GNAO1	DNAJB2	GNAO1
POMGNT1:SCG5	POMGNT1	SCG5
GNAO1:ADRA2C	GNAO1	ADRA2C
OGFOD1:TMC7	OGFOD1	TMC7
OGFOD1:NPIPB4	OGFOD1	NPIPB4
ADD1:HNRNPD	ADD1	HNRNPD
SRRD:ZNF37A	SRRD	ZNF37A
CAMK2N2:GNAS	CAMK2N2	GNAS
GNAS:EHMT1	GNAS	EHMT1
TMEM59:DNM1L	TMEM59	DNM1L
BPNT1:DNM1L	BPNT1	DNM1L
RPS5:GAP43	RPS5	GAP43
RPS5:RPP21	RPS5	RPP21
CHMP2B:LANCL1	CHMP2B	LANCL1
ETFB:EFR3B	ETFB	EFR3B
TXNRD2:RAB10	TXNRD2	RAB10
HADHA:COX7B	HADHA	COX7B
MAP2:ZSCAN18	MAP2	ZSCAN18
L2HGDH:MAP2K1	L2HGDH	MAP2K1
NBDY:RRAGB	NBDY	RRAGB
ZNF586:OCIAD1	ZNF586	OCIAD1
ZNF586:PEDS1-UBE2V1	ZNF586	PEDS1-UBE2V1
GNB1:MCTS1	GNB1	MCTS1
UVRAG:MAP2	UVRAG	MAP2
GPR12:PIAS2	GPR12	PIAS2
SOCS5:AMPH	SOCS5	AMPH
FAM241B:NEBL	FAM241B	NEBL
NEBL:TOMM7	NEBL	TOMM7
MICU1:TULP3	MICU1	TULP3
PPP2R5C:MFF	PPP2R5C	MFF
NPTX1:FAT2	NPTX1	FAT2
ZNF264:KCTD3	ZNF264	KCTD3
UTP11:NRDC	UTP11	NRDC
EFEMP1:PCM1	EFEMP1	PCM1
CBFA2T2:KIZ	CBFA2T2	KIZ
BRINP1:KCTD6	BRINP1	KCTD6
ITCH:CHMP4B	ITCH	CHMP4B
SLC1A3:NOS1	SLC1A3	NOS1
RABL2B:RABL2A	RABL2B	RABL2A
KEAP1:AP2M1	KEAP1	AP2M1
SLC4A4:DCK	SLC4A4	DCK
SLC4A4:ATXN7	SLC4A4	ATXN7
ZFAND1:CHMP5	ZFAND1	CHMP5
PTEN:RBFOX1	PTEN	RBFOX1
RPL31:ZNF827	RPL31	ZNF827
RPL31:MCRIP1	RPL31	MCRIP1
ZNF214:MBD3	ZNF214	MBD3
NFATC2IP:PRKACA	NFATC2IP	PRKACA
ADGRL1:TCEAL2	ADGRL1	TCEAL2
PPP4R3A:ACTN1	PPP4R3A	ACTN1
EPN2:CYB5A	EPN2	CYB5A
GPR83:NT5C2	GPR83	NT5C2
PNMA8C:MCAM	PNMA8C	MCAM
DGKD:DIRAS2	DGKD	DIRAS2
TOP2B:CANX	TOP2B	CANX
NDUFA11:MAPRE3	NDUFA11	MAPRE3
DNAJC10:NUP35	DNAJC10	NUP35
PIGL:PAK3	PIGL	PAK3
DYNC1I2:COPRS	DYNC1I2	COPRS
JADE1:EIF3H	JADE1	EIF3H
GAK:FGFR1	GAK	FGFR1
SMC5:FGFR1	SMC5	FGFR1
MARK3:PIGK	MARK3	PIGK
ANO8:BAG6	ANO8	BAG6
ARHGEF10L:IFITM10	ARHGEF10L	IFITM10
KCNQ2:DNAJC8	KCNQ2	DNAJC8
SLC25A40:RUNDC3B	SLC25A40	RUNDC3B
TCEAL1:TOP2B	TCEAL1	TOP2B
CD82:PNMA8C	CD82	PNMA8C
ZNF483:WDR47	ZNF483	WDR47
TMEM167B:WDR47	TMEM167B	WDR47
OVGP1:OPTN	OVGP1	OPTN
PILRA:GOT2	PILRA	GOT2
MTIF2:MPV17	MTIF2	MPV17
DDHD2:USP22	DDHD2	USP22
EPS15:CHD7	EPS15	CHD7
SMC1A:C1orf43	SMC1A	C1orf43
TRHDE:FAM118A	TRHDE	FAM118A
RCAN2:ACADVL	RCAN2	ACADVL
UNC50:MGAT4A	UNC50	MGAT4A
TMEM38A:PAQR7	TMEM38A	PAQR7
PANX2:ZC3H6	PANX2	ZC3H6
UGDH:GSDMB	UGDH	GSDMB
FRY:LYN	FRY	LYN
DOP1B:CLNS1A	DOP1B	CLNS1A
EPM2AIP1:TSG101	EPM2AIP1	TSG101
STRN3:TSG101	STRN3	TSG101
MGLL:EWSR1	MGLL	EWSR1
ZNF532:KHDRBS1	ZNF532	KHDRBS1
PABPC1:PPAN-P2RY11	PABPC1	PPAN-P2RY11
EIF2B3:CADPS2	EIF2B3	CADPS2
GRB2:CDC42	GRB2	CDC42
FBXW11:SNRPN	FBXW11	SNRPN
FBXO25:SCHIP1	FBXO25	SCHIP1
MAL2:NCOR2	MAL2	NCOR2
TMEM209:CRK	TMEM209	CRK
NSMCE2:TATDN1	NSMCE2	TATDN1
ZNF7:GPHN	ZNF7	GPHN
IGF2R:UHRF2	IGF2R	UHRF2
ZFAND4:INIP	ZFAND4	INIP
C15orf40:NR6A1	C15orf40	NR6A1
ALAD:VDAC2	ALAD	VDAC2
RPL7A:SURF1	RPL7A	SURF1
ASB6:DDX51	ASB6	DDX51
SETDB1:RPLP0	SETDB1	RPLP0
DDX46:RPL38	DDX46	RPL38
RNF145:GRK2	RNF145	GRK2
USP16:RNF44	USP16	RNF44
RPL7L1:LRRC51	RPL7L1	LRRC51
CLVS2:TMEM126B	CLVS2	TMEM126B
CCT6A:USP24	CCT6A	USP24
PDE3B:NDUFA5	PDE3B	NDUFA5
ZNF718:MTX2	ZNF718	MTX2
NDUFS3:GAD1	NDUFS3	GAD1
SENP2:HAT1	SENP2	HAT1
TWSG1:PSMG2	TWSG1	PSMG2
COG8:YIPF5	COG8	YIPF5
ZNF385D:CA8	ZNF385D	CA8
USP39:DST	USP39	DST
PSMG4:TLCD4	PSMG4	TLCD4
GEMIN6:SQSTM1	GEMIN6	SQSTM1
ASB6:POMK	ASB6	POMK
SUV39H2:CYB561D1	SUV39H2	CYB561D1
TRIM52:PFKM	TRIM52	PFKM
COL8A1:CMSS1	COL8A1	CMSS1
VMA21:NXPE3	VMA21	NXPE3
TAGLN3:ATP13A2	TAGLN3	ATP13A2
DGKE:TRPC1	DGKE	TRPC1
KRBOX4:TRAPPC8	KRBOX4	TRAPPC8
COPRS:RPL32	COPRS	RPL32
DNM3:CBR4	DNM3	CBR4
PPP1R10:MRPS5	PPP1R10	MRPS5
MARCHF6:TFDP1	MARCHF6	TFDP1
HSPD1:PLCB3	HSPD1	PLCB3
METTL21A:BMI1	METTL21A	BMI1
CNTN4:CACNA2D3	CNTN4	CACNA2D3
TRIP12:POMGNT2	TRIP12	POMGNT2
TMEM209:TADA2B	TMEM209	TADA2B
NLGN4X:DPF3	NLGN4X	DPF3
MAP6D1:RUBCN	MAP6D1	RUBCN
ERMARD:POU3F3	ERMARD	POU3F3
ELOF1:BRD10	ELOF1	BRD10
APOE:NF1	APOE	NF1
DPP6:TTC32	DPP6	TTC32
TMTC4:LSM8	TMTC4	LSM8
ATP8A1:KCTD8	ATP8A1	KCTD8
GRM4:UBE2N	GRM4	UBE2N
RAD9A:ABCC10	RAD9A	ABCC10
LSM12:HROB	LSM12	HROB
H2AZ1:SEPTIN6	H2AZ1	SEPTIN6
BMP4:FAM107A	BMP4	FAM107A
EIF2S3B:PSMG2	EIF2S3B	PSMG2
AMD1:FNBP1	AMD1	FNBP1
KCNJ9:TTC21B	KCNJ9	TTC21B
FAM210B:HCFC1	FAM210B	HCFC1
SLC12A5:RIC3	SLC12A5	RIC3
CHD6:PPFIA1	CHD6	PPFIA1
SRSF6:MIF	SRSF6	MIF
ZNFX1:SMARCC2	ZNFX1	SMARCC2
STX16:XPC	STX16	XPC
RNF114:TUBG1	RNF114	TUBG1
TMEM184B:DDX27	TMEM184B	DDX27
ATG9A:DDX27	ATG9A	DDX27
ZNF24:PLGLB2	ZNF24	PLGLB2
DOCK4:CEBPD	DOCK4	CEBPD
ADAL:MINDY2	ADAL	MINDY2
MINDY2:KMT5A	MINDY2	KMT5A
PSMA1:ZNF793	PSMA1	ZNF793
SUMF2:MRPS21	SUMF2	MRPS21
UBASH3B:SERGEF	UBASH3B	SERGEF
LONP1:SMARCA4	LONP1	SMARCA4
ENSG00000286098:SMARCA4	ENSG00000286098	SMARCA4
ZNF835:CHURC1	ZNF835	CHURC1
AKAP9:ZC3H11B	AKAP9	ZC3H11B
PTPN12:MAP1LC3B	PTPN12	MAP1LC3B
HNRNPU:RPS4Y1	HNRNPU	RPS4Y1
SRC:TUBGCP6	SRC	TUBGCP6
RAD23A:MGAT3	RAD23A	MGAT3
FAM200A:UBAC1	FAM200A	UBAC1
TMEM222:SAFB2	TMEM222	SAFB2
NSMF:GDF1	NSMF	GDF1
NCAN:TRUB1	NCAN	TRUB1
AFDN:DZIP3	AFDN	DZIP3
ACTN4:TMEM9B	ACTN4	TMEM9B
UNC13A:FBXO44	UNC13A	FBXO44
CALY:MTG1	CALY	MTG1
LAMA5:UCHL1	LAMA5	UCHL1
MTUS1:NPM2	MTUS1	NPM2
CALN1:RBM48	CALN1	RBM48
CDK5RAP2:ELMO1	CDK5RAP2	ELMO1
ZFP37:ZNF131	ZFP37	ZNF131
GARNL3:SAE1	GARNL3	SAE1
SPHKAP:RPL35	SPHKAP	RPL35
ARPC5L:YY1AP1	ARPC5L	YY1AP1
RNF38:MBP	RNF38	MBP
LRCH3:USO1	LRCH3	USO1
RNF185:HEY1	RNF185	HEY1
AP2A2:GABARAPL1	AP2A2	GABARAPL1
PPP3CA:NUP54	PPP3CA	NUP54
AEBP2:NDUFS5	AEBP2	NDUFS5
RNF144A:ERFE	RNF144A	ERFE
PIANP:C14orf132	PIANP	C14orf132
SCAF11:ATP2B2	SCAF11	ATP2B2
KYAT1:MARCHF9	KYAT1	MARCHF9
TRAPPC2:MARCHF9	TRAPPC2	MARCHF9
GLTP:ANKFY1	GLTP	ANKFY1
MTMR6:CNOT7	MTMR6	CNOT7
NABP2:MXRA7	NABP2	MXRA7
IPO7:SSB	IPO7	SSB
HAUS3:PNPT1	HAUS3	PNPT1
MRPL1:RAB1A	MRPL1	RAB1A
MAGOH:LRPPRC	MAGOH	LRPPRC
NDUFA9:NPPC	NDUFA9	NPPC
TVP23C:TXNL4A	TVP23C	TXNL4A
CACNA1A:C6orf132	CACNA1A	C6orf132
PFKL:SPON1	PFKL	SPON1
PRDM10:PRKACB	PRDM10	PRKACB
ENSA:RPS8	ENSA	RPS8
RELL1:RPS6	RELL1	RPS6
MLLT11:RPS6	MLLT11	RPS6
BPHL:ANAPC16	BPHL	ANAPC16
IL18BP:ZDHHC23	IL18BP	ZDHHC23
CCDC90B:PPIG	CCDC90B	PPIG
RABGGTB:GTF2B	RABGGTB	GTF2B
NEK1:MRPS22	NEK1	MRPS22
DNAJB5:EFHD2	DNAJB5	EFHD2
HINFP:CFAP68	HINFP	CFAP68
NLGN1:UNC13C	NLGN1	UNC13C
MYT1L:SLTM	MYT1L	SLTM
ALKBH6:MAPKBP1	ALKBH6	MAPKBP1
TTLL7:NPEPL1	TTLL7	NPEPL1
ZNF665:NDUFB5	ZNF665	NDUFB5
KCTD3:NCOR1	KCTD3	NCOR1
RPS6KC1:NDUFA3	RPS6KC1	NDUFA3
C9orf78:ZNF543	C9orf78	ZNF543
TNIP1:DAB2IP	TNIP1	DAB2IP
KCNIP4:SDCBP	KCNIP4	SDCBP
ALG8:IMMP1L	ALG8	IMMP1L
TUT1:C14orf132	TUT1	C14orf132
TNKS1BP1:CLSTN1	TNKS1BP1	CLSTN1
GFPT1:SESN3	GFPT1	SESN3
RPS3:SSC5D	RPS3	SSC5D
DHTKD1:KIN	DHTKD1	KIN
NPAT:ATM	NPAT	ATM
HYOU1:VPS11	HYOU1	VPS11
TBL3:TMEM138	TBL3	TMEM138
MED21:FADS1	MED21	FADS1
FADS1:STAT2	FADS1	STAT2
KCTD13:ACTR1A	KCTD13	ACTR1A
GPRASP1:SIDT2	GPRASP1	SIDT2
SPHKAP:MPLKIP	SPHKAP	MPLKIP
TMEM167A:CWC27	TMEM167A	CWC27
VPS8:SMARCA5	VPS8	SMARCA5
KCNJ6:UBP1	KCNJ6	UBP1
GOLGA8F:GOLGA8A	GOLGA8F	GOLGA8A
BCOR:PTPRD	BCOR	PTPRD
LGI4:JUNB	LGI4	JUNB
THY1:SRSF8	THY1	SRSF8
INPP1:TMUB2	INPP1	TMUB2
CES4A:FEZ1	CES4A	FEZ1
NUDT5:KIF20B	NUDT5	KIF20B
CCDC92B:DBR1	CCDC92B	DBR1
NARF:ATIC	NARF	ATIC
OLA1:CIR1	OLA1	CIR1
TXNL4A:ITGAV	TXNL4A	ITGAV
PPCDC:GPHB5	PPCDC	GPHB5
AP1AR:MARCKS	AP1AR	MARCKS
TMEM9B:RAP1GDS1	TMEM9B	RAP1GDS1
LCOR:TRPC3	LCOR	TRPC3
ALDH9A1:NAAA	ALDH9A1	NAAA
ALDOA:ATP5F1A	ALDOA	ATP5F1A
ATP2A2:PAXX	ATP2A2	PAXX
C2orf74:SAP18	C2orf74	SAP18
ADGRL3:FXYD1	ADGRL3	FXYD1
LYPD1:PNMA1	LYPD1	PNMA1
PPT2:PDCD4	PPT2	PDCD4
DLG2:ANKRD36C	DLG2	ANKRD36C
UBE3B:DYNC1H1	UBE3B	DYNC1H1
PLBD2:UBE2Z	PLBD2	UBE2Z
C1orf174:FAM177A1	C1orf174	FAM177A1
